loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
8.8211,3.375075101852417,3.75e-05,0.0349283967865875,25,,,,,,,,,
8.0667,2.4528119564056396,7.5e-05,0.069856793573175,50,,,,,,,,,
7.2487,1.628156065940857,0.0001125,0.10478519035976248,75,,,,,,,,,
6.4896,1.0110899209976196,0.00015,0.13971358714635,100,,,,,,,,,
6.0896,1.0098357200622559,0.00018749999999999998,0.17464198393293748,125,,,,,,,,,
5.9688,1.2749954462051392,0.000225,0.20957038071952497,150,,,,,,,,,
5.729,1.2134097814559937,0.0002625,0.24449877750611246,175,,,,,,,,,
5.6843,1.3442302942276,0.0003,0.2794271742927,200,,,,,,,,,
5.4699,1.498788833618164,0.0002999593861769192,0.31435557107928747,225,,,,,,,,,
5.4512,1.1975913047790527,0.00029983756670077865,0.34928396786587496,250,,,,,,,,,
5.422,1.240140676498413,0.0002996346075389736,0.38421236465246245,275,,,,,,,,,
5.2934,1.306291937828064,0.00029935061859747065,0.41914076143904994,300,,,,,,,,,
5.2304,1.1944383382797241,0.00029898575366129145,0.4540691582256374,325,,,,,,,,,
5.2087,1.2117528915405273,0.0002985402103112355,0.4889975550122249,350,,,,,,,,,
5.0947,1.192178726196289,0.00029801422981688686,0.5239259517988124,375,,,,,,,,,
5.1197,1.2195384502410889,0.000297408097005962,0.5588543485854,400,,,,,,,,,
5.0245,1.2069059610366821,0.0002967221401100708,0.5937827453719874,425,,,,,,,,,
4.9448,1.2229074239730835,0.00029595673058697357,0.6287111421585749,450,,,,,,,,,
4.9915,1.266127109527588,0.0002951122829194295,0.6636395389451624,475,,,,,,,,,
4.9912,1.4146020412445068,0.0002941892543907478,0.6985679357317499,500,,,,,,,,,
4.9096,1.2834666967391968,0.0002931881448371598,0.7334963325183375,525,,,,,,,,,
4.9709,1.4054499864578247,0.0002921094963771494,0.7684247293049249,550,,,,,,,,,
4.8226,1.2047696113586426,0.0002909538931178862,0.8033531260915124,575,,,,,,,,,
4.8828,1.2974411249160767,0.00028972196083892134,0.8382815228780999,600,,,,,,,,,
4.9078,1.2509807348251343,0.00028841436665331634,0.8732099196646874,625,,,,,,,,,
4.7523,1.225831389427185,0.0002870318186463901,0.9081383164512749,650,,,,,,,,,
4.7808,1.2402554750442505,0.00028557506549227804,0.9430667132378624,675,,,,,,,,,
4.7593,1.1908230781555176,0.0002840448960485118,0.9779951100244498,700,,,,,,,,,
,,,0.9989521480964024,715,5.330873966217041,6.6176,892.775,111.672,,,,,
4.719,1.0729347467422485,0.000282442138928839,1.0129235068110374,725,,,,,,,,,
4.5608,1.2271816730499268,0.0002807676620545143,1.0478519035976248,750,,,,,,,,,
4.4264,1.2516995668411255,0.00027902237218430483,1.0827803003842125,775,,,,,,,,,
4.4275,1.347242832183838,0.00027720721442346387,1.1177086971708,800,,,,,,,,,
4.4166,1.4709951877593994,0.00027532317171194046,1.1526370939573873,825,,,,,,,,,
4.5169,1.2471970319747925,0.00027337126429209934,1.1875654907439748,850,,,,,,,,,
4.5288,1.4184144735336304,0.0002713525491562421,1.2224938875305624,875,,,,,,,,,
4.4774,1.4435299634933472,0.00026926811947422714,1.2574222843171499,900,,,,,,,,,
4.4627,1.2922495603561401,0.0002671191040014989,1.2923506811037373,925,,,,,,,,,
4.4496,1.2903945446014404,0.00026490666646784665,1.3272790778903247,950,,,,,,,,,
4.4517,1.1655601263046265,0.00026263200494722487,1.3622074746769124,975,,,,,,,,,
4.4575,1.3026700019836426,0.0002602963512089743,1.3971358714634998,1000,,,,,,,,,
4.4164,1.3534208536148071,0.00025790097005079764,1.4320642682500873,1025,,,,,,,,,
4.354,1.215197205543518,0.0002554471586138493,1.466992665036675,1050,,,,,,,,,
4.4039,1.375659704208374,0.00025293624568031,1.5019210618232623,1075,,,,,,,,,
4.4237,1.3089079856872559,0.0002503695909538287,1.5368494586098498,1100,,,,,,,,,
4.4266,1.4446954727172852,0.0002477485843232183,1.5717778553964372,1125,,,,,,,,,
4.3138,1.2536492347717285,0.0002450746451098065,1.6067062521830247,1150,,,,,,,,,
4.3466,1.3090918064117432,0.0002423492212988487,1.6416346489696123,1175,,,,,,,,,
4.3554,1.4301888942718506,0.00023957378875541792,1.6765630457561997,1200,,,,,,,,,
4.3666,1.39303457736969,0.00023674985042519795,1.7114914425427874,1225,,,,,,,,,
4.3652,1.3340562582015991,0.00023387893552061199,1.7464198393293748,1250,,,,,,,,,
4.3026,1.267930030822754,0.00023096259869272693,1.7813482361159623,1275,,,,,,,,,
4.3051,1.37185800075531,0.00022800241918938228,1.8162766329025497,1300,,,,,,,,,
4.38,1.4872450828552246,0.000225,1.8512050296891371,1325,,,,,,,,,
4.3014,1.5186903476715088,0.00022195696698753693,1.8861334264757248,1350,,,,,,,,,
4.281,1.4430981874465942,0.00021887496800805173,1.9210618232623122,1375,,,,,,,,,
4.2578,1.3031617403030396,0.0002157556720183616,1.9559902200488999,1400,,,,,,,,,
4.3512,1.4535200595855713,0.00021260076817227266,1.9909186168354873,1425,,,,,,,,,
,,,1.9993014320642684,1431,5.108313083648682,5.1479,1147.663,143.555,,,,,
4.06,1.3976351022720337,0.0002094119649058735,2.0258470136220748,1450,,,,,,,,,
3.9277,1.3091083765029907,0.0002061909890123868,2.060775410408662,1475,,,,,,,,,
3.9116,1.3087351322174072,0.0002029395847070803,2.0957038071952496,1500,,,,,,,,,
